Index,Location,Phi,Std_Error_Phi,W,Longitude,Latitude
1,Andechs/Rothenfeld,0.9982,0.0045,0.283987516396869,11.220172,47.968753
2,Ansbach/Residenzstraße,0.7461,0.0076,0.14365530199313042,10.572297,49.304889
3,Augsburg/Karlstraße,0.5791,0.0036,0.44365730869455045,10.896221,48.370237
4,Augsburg/Königsplatz,0.4346,0.006,0.5290970546374446,10.89503,48.36459
5,Augsburg/LfU,0.5934,0.0071,0.20928525706787865,10.903051,48.326013
6,Bamberg/Löwenbrücke,0.5124,0.0074,0.5398308453422795,10.887686,49.89833
7,Bayreuth/Hohenzollernring,0.7721,0.0026,0.21787076189477222,11.570088,49.943637
8,Burghausen/Marktler/Straße,0.6822,0.007,0.22749956173573438,12.829314,48.177175
9,Fürth/Theresienstraße,0.4009,0.006,0.5044190521220341,10.984705,49.47221
10,Ingolstadt/Rechbergstraße,0.8555,0.0028,0.2503261490590431,11.428766,48.769444
11,Kelheim/Regensburger/Straße,0.6079,0.0078,0.2950806093468323,11.879245,48.909518
12,Kulmbach/Konrad-Adenauer-Straße,0.5489,0.0073,0.4295428368076897,11.442591,50.103135
13,Landshut/Podewilsstraße,0.6304,0.0077,0.06783347995605155,12.157051,48.539801
14,Lindau(Bodensee)/Friedrichshafener_Str,0.8144,0.0054,0.05166948146562177,9.688869,47.557473
15,München/Johanneskirchen,0.7512,0.0035,0.1414008298184507,11.64804,48.17319
16,München/Landshuter-Allee,0.4720,0.0092,0.2983203105056259,11.536513,48.149606
17,München/Lothstraße,0.4815,0.0026,0.5075210501273014,11.554669,48.154534
18,München/Stachus,0.4487,0.0051,0.5998536477470824,11.56481,48.13732
19,Neu-Ulm/Gabelsbergerstraße,0.8192,0.0068,0.12798938999354806,10.008293,48.397079
20,Passau/Stelzhamerstraße,0.6996,0.0065,0.05359497753640182,13.422039,48.573629
21,Regensburg/Rathaus ,0.6702,0.0049,0.15266989653982485,12.101557,49.015245
22,Schweinfurt/Obertor,0.6878,0.0063,0.2857129031577625,10.232076,50.048397
23,Sulzbach-Rosenberg/Lohe,0.6241,0.0132,0.09574998778964092,11.786341,49.487983
24,Tiefenbach/Altenschneeberg,0.8239,0.0079,0.12170907618229815,12.548869,49.438464
25,Trostberg/Schwimmbadstraße,0.6731,0.0063,0.23710330322363618,12.538174,48.021657
26,Würzburg/Stadtring-Süd,0.8162,0.0048,0.10484095743154664,9.947654,49.790526
